Time [s],Packet ID,MOSI,MISO
12.809907440000000,29555,0x1B,
12.809946640000000,29556,0x40,
12.809981360000000,29556,0x1B,
12.810020560000000,29557,0x40,
12.810055280000000,29557,0x1B,
12.810094480000000,29558,0x40,
12.810129200000000,29558,0x1B,
12.810168400000000,29559,0x40,
12.810203120000001,29559,0x1B,
12.810244960000000,29560,0x40,
12.810279599999999,29560,0x1B,
12.810318799999999,29561,0x40,
12.810353520000000,29561,0x1B,
12.810392719999999,29562,0x40,
12.810427440000000,29562,0x1B,
12.810466640000000,29563,0x40,
12.810501360000000,29563,0x1B,
12.810540560000000,29564,0x40,
12.810575200000001,29564,0x1B,
12.810614480000000,29565,0x40,
12.810649120000001,29565,0x1B,
12.810688320000001,29566,0x40,
12.810723039999999,29566,0x1B,
12.810762240000001,29567,0x40,
12.810796959999999,29567,0x1B,
12.810836159999999,29568,0x40,
12.810870800000000,29568,0x1B,
12.810910079999999,29569,0x40,
12.810944720000000,29569,0x1B,
12.810983920000000,29570,0x40,
12.811018640000000,29570,0x1B,
12.811057840000000,29571,0x40,
12.811092560000001,29571,0x1B,
12.811131760000000,29572,0x40,
12.811166480000001,29572,0x1B,
12.811205680000000,29573,0x40,
12.811243040000001,29573,0x1B,
12.811282240000001,29574,0x40,
12.811316880000000,29574,0x1A,
12.811355680000000,29575,0xC0,
12.818478480000000,29576,0x0F,
12.818514960000000,29576,0xA5,
12.818552240000001,29577,0xB0,
12.818803360000000,29578,0xA0,
12.818841360000000,29579,0xE0,
12.818878320000000,29580,0x05,
12.818915199999999,29580,0x20,
12.818952240000000,29580,0x00,
12.818989280000000,29580,0x00,
12.819026400000000,29580,0x00,
12.819063440000001,29580,0x80,
12.819100560000001,29580,0x00,
12.819137599999999,29580,0x76,
12.819174719999999,29580,0x00,
12.819211760000000,29580,0x80,
12.819248880000000,29580,0x06,
12.819285920000000,29580,0x19,
12.819323040000000,29580,0x00,
12.819360079999999,29580,0x00,
12.819399840000001,29580,0x00,
12.819436880000000,29580,0x00,
12.819474080000001,29580,0x4B,
12.819511360000000,29581,0xD0,
12.819548800000000,29582,0x40,
12.819583440000001,29582,0x1B,
12.819622640000000,29583,0x40,
12.819657360000001,29583,0x1B,
12.819696560000001,29584,0x40,
12.819731279999999,29584,0x1B,
12.819770480000001,29585,0x40,
12.819805199999999,29585,0x1B,
12.819844399999999,29586,0x40,
12.819879120000000,29586,0x1B,
12.819918319999999,29587,0x40,
12.819952960000000,29587,0x1B,
12.819992239999999,29588,0x40,
12.820026880000000,29588,0x1B,
12.820066160000000,29589,0x40,
12.820100800000001,29589,0x1B,
12.820140000000000,29590,0x40,
12.820174720000001,29590,0x1B,
12.820213920000000,29591,0x40,
12.820248640000001,29591,0x1B,
12.820287840000001,29592,0x40,
12.820322559999999,29592,0x1B,
12.820361760000001,29593,0x40,
12.820396400000000,29593,0x1B,
12.820438240000000,29594,0x40,
12.820472960000000,29594,0x1B,
12.820512160000000,29595,0x40,
12.820546880000000,29595,0x1B,
12.820586080000000,29596,0x40,
